file,N_exp,mean_wo_init,std_wo_init,mean_w_init,std_w_init,mean_init,std_init,run_min
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_211134.csv,23,,,11.43043478,10.0763522,9.459,9.065273245,0.010961676
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_211135.csv,24,,,6.45125,9.902184655,6.2235,9.098781938,0.017718458
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_211202.csv,83,,,6.406385542,8.500951552,7.8545,9.425754864,0.445697411
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_211216.csv,61,,,5.319180328,8.342551659,8.9795,8.818957691,0.232863212
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_211218.csv,31,,,7.683870968,9.361980311,7.349,8.365958343,0.041506886
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_211246.csv,86,,,6.650232558,8.467724905,9.1685,9.818699647,0.462856642
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_211316.csv,85,,,6.589176471,8.436392624,7.7455,8.327433863,0.504647251
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_211342.csv,83,,,6.699277108,8.422220579,8.157,8.783851718,0.429962377
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_211405.csv,80,,,6.492,8.562898224,10.8205,8.687407251,0.387535258
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_211427.csv,77,,,6.28961039,8.826154675,8.4075,10.0491193,0.363455065
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_211428.csv,23,,,11.43043478,10.0763522,9.459,9.065273245,0.01123356
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_211429.csv,24,,,6.45125,9.902184655,6.2235,9.098781938,0.018315558
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_211456.csv,83,,,6.406385542,8.500951552,7.8545,9.425754864,0.445641708
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_211510.csv,61,,,5.319180328,8.342551659,8.9795,8.818957691,0.233215555
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_211512.csv,31,,,7.683870968,9.361980311,7.349,8.365958343,0.041594779
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_211540.csv,86,,,6.650232558,8.467724905,9.1685,9.818699647,0.459205767
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_211610.csv,85,,,6.589176471,8.436392624,7.7455,8.327433863,0.502397382
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_211636.csv,83,,,6.699277108,8.422220579,8.157,8.783851718,0.433341757
